Date,PX_OPEN,PX_LAST,PX_LOW,PX_HIGH,PX_BID,PX_ASK,PX_MID,PX_VOLUME,PX_TO_BOOK_RATIO,PE_RATIO,IS_EPS,CASH_RATIO,CUR_RATIO,QUICK_RATIO,AVERAGE_DIVIDEND_YIELD,PROF_MARGIN,OPER_MARGIN
26/04/2019,204.9,204.3,202.12,205,204.28,204.29,204.285,18649102,8.8916,17.2032,2.47,0.8541,1.3154,1.015,1.4293,19.9276,23.1233
25/04/2019,206.83,205.28,205.12,207.76,205.24,205.28,205.26,18543206,8.9343,17.2857,2.47,0.8541,1.3154,1.015,1.4224,19.9276,23.1233
24/04/2019,207.36,207.16,207.05,208.48,207.12,207.13,207.125,17540609,9.0161,17.4441,2.47,0.8541,1.3154,1.015,1.4095,19.9276,23.1233
23/04/2019,204.43,207.48,203.9,207.75,207.5,207.51,207.505,23322991,9.03,17.471,2.47,0.8541,1.3154,1.015,1.4074,19.9276,23.1233
22/04/2019,202.83,204.53,202.34,204.94,204.63,204.65,204.64,19439545,8.9016,17.2226,2.47,0.8541,1.3154,1.015,1.4277,19.9276,23.1233
18/04/2019,203.12,203.86,202.52,204.15,203.86,203.87,203.865,24195766,8.8725,17.1662,2.47,0.8541,1.3154,1.015,1.4324,19.9276,23.1233
17/04/2019,199.54,203.13,198.61,203.38,203.11,203.12,203.115,28906780,8.8407,17.1047,2.47,0.8541,1.3154,1.015,1.4375,19.9276,23.1233
16/04/2019,199.46,199.25,198.56,201.37,199.24,199.25,199.245,25696385,8.6718,16.778,2.47,0.8541,1.3154,1.015,1.4655,19.9276,23.1233
15/04/2019,198.58,199.23,198.01,199.85,199.22,199.23,199.225,17536646,8.671,16.7763,2.47,0.8541,1.3154,1.015,1.4656,19.9276,23.1233
12/04/2019,199.2,198.87,196.21,200.14,198.88,198.89,198.885,27760668,8.6553,16.746,2.47,0.8541,1.3154,1.015,1.4683,19.9276,23.1233
11/04/2019,200.85,198.95,198.4431,201,198.8,198.85,198.825,20900808,8.6588,16.7527,2.47,0.8541,1.3154,1.015,1.4677,19.9276,23.1233
10/04/2019,198.68,200.62,198.18,200.74,200.66,200.68,200.67,21695288,8.7315,16.8933,2.47,0.8541,1.3154,1.015,1.4555,19.9276,23.1233
09/04/2019,200.32,199.5,199.23,202.85,199.48,199.51,199.495,35768237,8.6827,16.799,2.47,0.8541,1.3154,1.015,1.4637,19.9276,23.1233
08/04/2019,196.42,200.1,196.34,200.23,200.07,200.11,200.09,25881697,8.7088,16.8496,2.47,0.8541,1.3154,1.015,1.4593,19.9276,23.1233
05/04/2019,196.45,197,195.93,197.1,196.96,196.99,196.975,18526644,8.5739,16.5885,2.47,0.8541,1.3154,1.015,1.4822,19.9276,23.1233
04/04/2019,194.79,195.69,193.14,196.37,195.71,195.73,195.72,19114275,8.5169,16.4782,2.47,0.8541,1.3154,1.015,1.4922,19.9276,23.1233
03/04/2019,193.25,195.35,193.15,196.5,195.34,195.35,195.345,23271830,8.5021,16.4496,2.47,0.8541,1.3154,1.015,1.4948,19.9276,23.1233
